sector,universe_stock_count,stocks,searched_stock_count,searched_stocks,top_5_features,top_3_combos
Bất động sản,18,"BCM,DIG,DXG,HDC,HDG,KBC,KDH,KOS,NLG,PDR,SIP,SJS,SZC,TCH,VHM,VIC,VPI,VRE",18,"BCM,DIG,DXG,HDC,HDG,KBC,KDH,KOS,NLG,PDR,SIP,SJS,SZC,TCH,VHM,VIC,VPI,VRE","vwap_gap (13 mã, 36 lần, max=0.083) | volatility_20 (10 mã, 25 lần, max=0.070) | gap_open (10 mã, 20 lần, max=0.064) | ma_200_gap (10 mã, 15 lần, max=0.120) | bb_width (9 mã, 28 lần, max=0.138)","KOS:bb_width,obv_change (test=0.138, val=0.056) | KOS:bb_width (test=0.133, val=0.048) | VHM:momentum_20,macd (test=0.125, val=-0.009)"
Ngân hàng,14,"ACB,BID,CTG,EIB,HDB,LPB,MBB,SHB,STB,TCB,TPB,VCB,VIB,VPB",14,"ACB,BID,CTG,EIB,HDB,LPB,MBB,SHB,STB,TCB,TPB,VCB,VIB,VPB","vwap_gap (12 mã, 29 lần, max=0.056) | obv_change (10 mã, 15 lần, max=0.042) | momentum_5 (9 mã, 18 lần, max=0.050) | above_ma_200 (9 mã, 16 lần, max=0.045) | lower_shadow (8 mã, 19 lần, max=0.046)","BID:intraday_return,close_position (test=0.060, val=-0.078) | TPB:volatility_20,vwap_gap (test=0.056, val=0.055) | VCB:gap_open,upper_shadow (test=0.051, val=-0.029)"
Thực phẩm và đồ uống,10,"ANV,DBC,HAG,KDC,MSN,PAN,SAB,SBT,VHC,VNM",10,"ANV,DBC,HAG,KDC,MSN,PAN,SAB,SBT,VHC,VNM","vwap_gap (8 mã, 27 lần, max=0.082) | bb_width (7 mã, 10 lần, max=0.078) | upper_shadow (6 mã, 16 lần, max=0.061) | momentum_20 (6 mã, 11 lần, max=0.065) | close_position (6 mã, 11 lần, max=0.051)","SBT:atr_gap,vwap_gap (test=0.082, val=-0.007) | PAN:atr_gap,bb_width (test=0.078, val=-0.045) | PAN:gap_open,macd_signal (test=0.075, val=-0.032)"
Dịch vụ tài chính,9,"BSI,CTS,EVF,FTS,HCM,SSI,VCI,VIX,VND",9,"BSI,CTS,EVF,FTS,HCM,SSI,VCI,VIX,VND","close_position (7 mã, 16 lần, max=0.077) | obv_change (7 mã, 12 lần, max=0.070) | intraday_return (7 mã, 11 lần, max=0.075) | vwap_gap (6 mã, 14 lần, max=0.038) | upper_shadow (5 mã, 13 lần, max=0.055)","VIX:volume_zscore_20,macd (test=0.078, val=0.040) | VIX:close_position,macd_hist (test=0.077, val=0.022) | VIX:intraday_return,macd (test=0.075, val=0.032)"
Xây dựng và Vật liệu,9,"BMP,CII,CTD,CTR,HHV,HT1,PC1,VCG,VGC",9,"BMP,CII,CTD,CTR,HHV,HT1,PC1,VCG,VGC","momentum_5 (7 mã, 17 lần, max=0.066) | momentum_20 (6 mã, 12 lần, max=0.062) | vwap_gap (6 mã, 12 lần, max=0.037) | bb_width (6 mã, 6 lần, max=0.057) | volume_ratio_20 (5 mã, 11 lần, max=0.053)","CII:momentum_5,bb_position (test=0.066, val=0.031) | CII:momentum_5,bb_zscore (test=0.066, val=0.031) | CII:upper_shadow,macd (test=0.066, val=0.025)"
"Điện, nước & xăng dầu khí đốt",6,"BWE,GAS,NT2,POW,PPC,REE",6,"BWE,GAS,NT2,POW,PPC,REE","momentum_20 (6 mã, 14 lần, max=0.071) | vwap_gap (4 mã, 13 lần, max=0.030) | obv_change (4 mã, 9 lần, max=0.058) | atr_gap (3 mã, 11 lần, max=0.054) | volume_zscore_20 (3 mã, 5 lần, max=0.011)","GAS:momentum_20,rolling_max_20_gap (test=0.071, val=-0.071) | GAS:momentum_20,obv_change (test=0.058, val=-0.047) | GAS:above_ma_200,rolling_max_20_gap (test=0.054, val=-0.186)"
Hàng & Dịch vụ Công nghiệp,5,"GEX,GMD,PVT,VSC,VTP",5,"GEX,GMD,PVT,VSC,VTP","ma_20_gap (4 mã, 8 lần, max=0.077) | bb_position (4 mã, 7 lần, max=0.092) | bb_zscore (4 mã, 7 lần, max=0.092) | momentum_20 (4 mã, 6 lần, max=0.070) | bb_width (3 mã, 10 lần, max=0.092)","PVT:bb_width,bb_position (test=0.092, val=-0.033) | PVT:bb_width,bb_zscore (test=0.092, val=-0.033) | PVT:ma_20_gap,bb_width (test=0.077, val=0.005)"
Hóa chất,5,"DCM,DGC,DPM,GVR,PHR",5,"DCM,DGC,DPM,GVR,PHR","volatility_20 (4 mã, 17 lần, max=0.086) | bb_width (3 mã, 9 lần, max=0.043) | volume_ratio_20 (3 mã, 7 lần, max=0.079) | momentum_5 (3 mã, 5 lần, max=0.056) | ma_200_gap (3 mã, 4 lần, max=0.084)","PHR:volatility_20,bb_position (test=0.086, val=-0.021) | PHR:volatility_20,bb_zscore (test=0.086, val=-0.021) | PHR:volatility_20,ma_200_gap (test=0.084, val=-0.056)"
Tài nguyên Cơ bản,4,"HPG,HSG,NKG,PTB",4,"HPG,HSG,NKG,PTB","vwap_gap (4 mã, 9 lần, max=0.025) | obv_change (4 mã, 8 lần, max=0.016) | above_ma_200 (3 mã, 9 lần, max=0.009) | upper_shadow (3 mã, 9 lần, max=0.004) | momentum_20 (2 mã, 8 lần, max=0.009)","NKG:volatility_20 (test=0.026, val=-0.025) | NKG:volatility_20,vwap_gap (test=0.025, val=-0.025) | NKG:close_position,ma_200_gap (test=0.019, val=-0.058)"
Bán lẻ,3,"DGW,FRT,MWG",3,"DGW,FRT,MWG","vwap_gap (3 mã, 10 lần, max=0.050) | obv_change (3 mã, 5 lần, max=0.024) | lower_shadow (2 mã, 8 lần, max=0.038) | volume_ratio_20 (2 mã, 4 lần, max=0.050) | intraday_return (2 mã, 4 lần, max=0.025)","DGW:volume_ratio_20,vwap_gap (test=0.050, val=0.004) | MWG:lower_shadow (test=0.038, val=-0.034) | MWG:lower_shadow,above_ma_200 (test=0.035, val=-0.016)"
